UserID;UserSourname;UserName;UserPpatronymic;UserLogin;UserPassword;UserRole
1;Герасимов;Вячеслав;Ростиславович;loginDEftn2018;gPq+a};1
2;Суворов;Всеволод;Богданович;loginDEhuv2018;EJFYzS;2
3;Ширяев;Иван;Игоревич;loginDEfhd2018;{4wU7n;3
4;Колобова;Иванна;Геннадьевна;loginDEaon2018;&OmaNE;1
5;Шестаков;Антон;Константинович;loginDEyat2018;ELSTyH;2
6;Игнатьев;Федосей;Богданович;loginDEmin2018;pQ6jze;2
7;Горбунов;Валентин;Григорьевич;loginDEzal2018;zbU8R5;2
8;Терентьева;Анжела;Михаиловна;loginDEemw2018;NxhF5I;3
9;Мясникова;Ия;Евсеевна;loginDEmqt2018;SIasu5;1
10;Горбунов;Григорий;Денисович;loginDEpxx2018;Xv{vjN;2
11;Герасимов;Олег;Авксентьевич;loginDEetv2018;lNi&rF;2
12;Меркушева;Нинель;Матвеевна;loginDEonq2018;mKIIRQ;1
13;Степанов;Григорий;Матвеевич;loginDErhl2018;U}rb9j;3
14;Агафонов;Владлен;Станиславович;loginDEfou2018;O+S9hm;1
15;Кузнецов;Фрол;Георгьевич;loginDElno2018;le1vt2;2
16;Игнатьев;Борис;Владиславович;loginDEtbx2018;CQplH|;2
17;Симонов;Юрий;Созонович;loginDEltw2018;zvjkwE;3
18;Степанов;Евсей;Федотович;loginDEfuz2018;ILry03;2
19;Зыков;Вячеслав;Антонович;loginDEygj2018;7b6PUb;2
20;Анисимова;Алина;Протасьевна;loginDEwpn2018;9BBkXP;1
21;Артемьева;Лариса;Макаровна;loginDEyix2018;6zbXg*;2
22;Мамонтова;Ия;Христофоровна;loginDEtms2018;70Z&Zy;3
23;Котова;Светлана;Леонидовна;loginDEmgl2018;QJNgD&;2
24;Фёдорова;Алла;Брониславовна;loginDEhix2018;ZKnd*0;1
25;Гущина;Анжела;Аркадьевна;loginDEwbk2018;iJMh5B;2
26;Дмитриев;Григорий;Мэлорович;loginDEpwa2018;yn5MLQ;2
27;Дроздова;Фёкла;Митрофановна;loginDElrx2018;lbX+dF;1
28;Гаврилов;Василий;Германович;loginDEidx2018;R2j0mn;2
29;Суханова;Фаина;Юрьевна;loginDEzmk2018;ZrgBk6;1
30;Савельев;Егор;Сергеевич;loginDEvje2018;gCU1fd;1
31;Кирилов;Иван;Сергеевич;loginDEwun2018;gCU1fd;1
32;Сазонова;Клавдия;Евгеньевна;loginDEfzq2018;36H8f};3
33;Шаров;Григорий;Созонович;loginDEwel2018;UU5FTi;1
34;Щербаков;Кондрат;Фёдорович;loginDEljg2018;CT44Gc;1
35;Дроздов;Дмитрий;Юлианович;loginDEgsp2018;9ACW}r;1
36;Молчанов;Юрий;Лукьянович;loginDEjvp2018;etLGcB;3
37;Тихонов;Валентин;Авдеевич;loginDEapt2018;cwx{RH;1
38;Виноградов;Юрий;Лукьевич;loginDEilb2018;IN2Ahc;2
39;Горбунова;Нинель;Сергеевна;loginDErch2018;|&DFy+;1
40;Маслов;Леонид;Николаевич;loginDEfwx2018;t|*wCk;2
41;Родионова;Венера;Арсеньевна;loginDEggp2018;bBNxJb;2
42;Агафонов;Пантелеймон;Гордеевич;loginDEbgb2018;VtmP58;2
43;Кудрявцев;Гордей;Авксентьевич;loginDEnif2018;Nhj*t+;2
44;Лыткина;Алевтина;Романовна;loginDEsvs2018;tLgPnC;2
45;Князев;Геласий;Евсеевич;loginDEghx2018;gue+iw;2
46;Бирюкова;Пелагея;Дмитрьевна;loginDElmy2018;X2LtuP;2
47;Быков;Лаврентий;Ярославович;loginDEevd2018;GMbcZN;1
48;Воронов;Олег;Яковович;loginDEodd2018;s2|Eb1;1
49;Богданова;Марфа;Владимировна;loginDEmrj2018;blrD&8;3
50;Беляев;Донат;Агафонович;loginDEyct2018;uD+|Ud;3
